observation,return,volatility
132,1.6585,0.557474
133,0.913766,0.566846
134,0.0527697,0.533473
135,0.291058,0.515192
136,-0.0513088,0.499669
137,0.0530174,0.481443
138,0.0679238,0.458214
139,0.559756,0.434138
140,0.265147,0.44516
141,-0.108057,0.425967
142,0.0443149,0.40962
143,0.83004,0.393727
144,0.679629,0.446924
145,0.174027,0.424159
146,0.383441,0.407486
147,0.586787,0.404163
148,0.00313881,0.396572
149,-0.324692,0.397387
150,0.196672,0.385705
151,0.393367,0.392862
152,-0.690112,0.379496
153,-0.400028,0.469315
154,0.284581,0.449816
155,-0.106659,0.446488
156,0.132314,0.439811
157,0.95709,0.428123
158,0.909135,0.479635
159,0.225485,0.457336
160,-0.204378,0.442684
161,-0.166015,0.426525
162,0.0719423,0.405756
163,0.106473,0.390246
164,0.247942,0.373508
165,0.126769,0.363444
166,0.110597,0.35009
167,0.400852,0.338495
168,-0.0674696,0.343595
169,-0.105256,0.35176
170,-0.00523938,0.339589
171,0.31093,0.328864
172,0.170728,0.333311
173,0.274308,0.324042
174,0.555784,0.322072
175,-0.231257,0.332842
176,0.140153,0.376927
177,-0.179625,0.387512
178,-0.631174,0.390156
179,-1.58676,0.396995
180,-1.55723,0.52406
181,-0.907372,0.511038
182,-0.639058,0.48165
183,-0.587175,0.458909
184,-0.846653,0.439901
185,-0.183826,0.445462
186,0.445679,0.439994
187,0.53272,0.438564
188,-0.471981,0.420536
189,0.600177,0.472508
190,0.70485,0.56139
191,0.66198,0.527793
192,-0.340011,0.504868
193,-0.403035,0.532803
194,0.00386717,0.501299
195,-0.0031655,0.477388
196,0.372323,0.451848
197,0.884568,0.446175
198,-0.00353757,0.461381
199,0.21941,0.478922
200,0.417454,0.470678
201,0.2623,0.449168
202,-0.538674,0.426016
203,0.206519,0.457217
204,0.49796,0.483188
205,-0.514819,0.460571
206,-0.627244,0.507703
207,-0.193511,0.480231
208,0.181698,0.456616
209,0.104245,0.438832
210,0.177813,0.417135
211,0.979026,0.399914
212,1.46539,0.466633
213,0.477135,0.497156
214,-0.196911,0.492314
215,-0.239322,0.473975
216,-0.920088,0.44859
217,-1.35614,0.492554
218,-1.70299,0.509777
219,-1.72734,0.547024
220,-0.286136,0.551151
221,-0.402259,0.571716
222,-0.921261,0.558335
223,-0.142819,0.554853
224,-0.168771,0.543762
225,0.0587591,0.517005
226,-0.26382,0.491818
227,-1.10055,0.477941
228,-0.561879,0.52757
229,-0.98676,0.502662
230,-1.00014,0.534401
231,-0.955783,0.510088
232,-0.493333,0.495115
233,-0.477999,0.468298
234,-0.374682,0.450762
235,-0.87227,0.427831
236,0.280593,0.458432
237,-0.211347,0.522235
238,0.343261,0.53019
239,0.443338,0.53806
240,0.317251,0.506687
241,0.349549,0.478259
242,-0.630475,0.455297
243,-0.0797842,0.509403
244,-0.150121,0.504779
245,0.432119,0.482943
246,0.316963,0.492361
247,-0.0381652,0.465415
248,-0.644706,0.444024
249,-0.845532,0.458753
250,-0.338681,0.448575
251,-0.674494,0.42968
252,-1.39275,0.445549
253,-1.39752,0.507344
254,-0.411202,0.497712
255,0.788901,0.487892
256,0.291721,0.536528
257,-0.764823,0.517584
258,-0.811463,0.549521
259,-0.366723,0.519839
260,0.128782,0.490521
261,1.15646,0.471757
262,1.00471,0.548254
263,1.39515,0.516761
264,0.6964,0.556929
265,0.316685,0.529426
266,-0.123434,0.498456
267,-0.476439,0.479503
268,-0.458477,0.464829
269,-0.389953,0.441764
270,-0.486573,0.421212
271,-0.54425,0.408997
272,0.0953908,0.396526
273,1.03015,0.403191
274,0.536493,0.469858
275,0.0517857,0.450706
276,0.207553,0.429887
277,1.49384,0.414932
278,1.19208,0.575515
279,1.13594,0.540157
280,1.55098,0.534421
281,1.21802,0.566475
282,1.1633,0.535312
283,1.05098,0.527408
284,1.1448,0.506668
285,0.20641,0.505542
286,0.0493981,0.504562
287,0.285126,0.476925
288,0.424736,0.456735
289,0.774407,0.438025
290,0.735415,0.444849
291,-0.0613185,0.426801
292,0.0796166,0.434413
293,-0.254659,0.420721
294,-0.530739,0.417443
295,-0.523798,0.40822
296,-0.356956,0.393148
297,-0.772464,0.376261
298,-0.108075,0.405061
299,-0.394649,0.412227
300,0.320586,0.420869
301,-0.149848,0.451916
302,0.359226,0.457646
303,0.342208,0.471637
304,-0.598783,0.446198
305,-1.03784,0.487734
306,-0.0242974,0.487932
307,0.408246,0.504239
308,0.234131,0.48087
309,-0.902112,0.454636
310,-0.00864113,0.535966
311,1.25991,0.556451
312,1.98483,0.617672
313,0.895712,0.665583
314,0.568113,0.635074
315,0.651752,0.598942
316,-0.454613,0.568867
317,-0.3796,0.600475
318,0.446367,0.563613
319,0.834328,0.562539
320,-0.059866,0.545414
321,-0.683893,0.547343
322,-0.0600953,0.535667
323,0.426955,0.521376
324,-0.818991,0.501941
325,-2.20678,0.593441
326,-1.59603,0.722411
327,-1.21186,0.673722
328,-0.916488,0.641559
329,-0.763635,0.602927
330,0.104891,0.570212
331,0.279166,0.563786
332,0.298851,0.529639
333,-0.479808,0.500449
334,-2.183,0.517694
335,-0.787492,0.735604
336,1.42658,0.733658
337,0.895368,0.845431
338,0.55804,0.791157
339,0.577972,0.738871
340,1.52134,0.692669
341,1.76957,0.74329
342,1.44186,0.723374
343,0.866584,0.683854
344,0.48315,0.638477
345,-0.60654,0.597204
346,-0.799747,0.622137
347,0.0488426,0.587102
348,0.046245,0.574505
349,0.00682352,0.540694
350,-0.587435,0.508483
351,-0.243559,0.515303
352,-0.770475,0.490894
353,-0.45091,0.516062
354,-0.272031,0.488478
355,-0.969248,0.462229
356,-0.184677,0.506495
357,-0.0129692,0.507345
358,0.859964,0.479041
359,1.4859,0.5334
360,0.486674,0.560368
361,-0.339018,0.548815
362,-0.925414,0.533758
363,-1.50661,0.539717
364,-1.25304,0.575253
365,0.0876659,0.545139
366,-0.810952,0.569687
367,-0.19066,0.636292
368,0.543123,0.619293
369,0.746494,0.598862
370,0.891438,0.570855
371,-0.0380579,0.551825
372,0.219426,0.55314
373,-0.0585785,0.536484
374,-1.37963,0.513152
375,-1.0324,0.626958
376,-1.00066,0.586723
377,0.128278,0.571958
378,0.128261,0.590311
379,0.0387752,0.555927
380,0.230249,0.522265
381,0.0434805,0.495961
382,-0.0668445,0.469936
383,0.327259,0.444918
384,-0.191433,0.438572
385,-0.546216,0.442
386,-0.782905,0.430909
387,0.101827,0.430345
388,-0.0818056,0.453483
389,-0.199626,0.441504
390,-0.370821,0.419627
391,-0.38659,0.407463
392,-0.519129,0.390767
393,-0.167941,0.384835
394,-0.418681,0.372899
395,-0.83768,0.378498
396,-0.79436,0.397461
397,-0.772101,0.386271
398,-0.990321,0.382533
399,-0.778272,0.400715
400,-1.06703,0.384923
401,0.00120646,0.420447
402,-0.47038,0.46155
403,-0.757515,0.4884
404,-0.663903,0.47193
405,0.36984,0.450485
406,-0.435245,0.489993
407,-0.396013,0.534755
408,0.347129,0.503633
409,0.174506,0.502875
410,-0.517292,0.476841
411,-0.47827,0.484135
412,0.444156,0.457714
413,0.132032,0.486758
414,0.650302,0.469444
415,0.654864,0.492724
416,0.941114,0.466888
417,0.747702,0.477913
418,0.18577,0.453026
419,0.74003,0.435044
420,0.689961,0.470858
421,0.451147,0.446739
422,0.590679,0.42449
423,0.784685,0.418228
424,0.846989,0.416673
425,-0.0302473,0.411151
426,-0.455466,0.429569
427,-0.583984,0.417544
428,-0.691372,0.407071
429,-0.790659,0.401134
430,-0.767857,0.398761
431,-0.333088,0.39028
432,0.0585659,0.375752
433,0.084418,0.365325
434,-0.107655,0.351345
435,0.337855,0.342297
436,0.267061,0.358682
437,0.447562,0.345634
438,0.122062,0.349333
439,0.14329,0.343051
440,0.563463,0.334732
441,-0.507393,0.354148
442,-0.825265,0.449406
443,-0.241916,0.436278
444,0.469155,0.42249
445,0.476361,0.433565
446,0.285072,0.412986
447,0.782795,0.39372
448,1.1251,0.426584
449,0.342807,0.440696
450,0.107276,0.435584
451,0.218019,0.414162
452,0.836945,0.397525
453,1.00193,0.437031
454,0.569763,0.432057
455,0.361894,0.410941
456,-0.532073,0.392886
457,-0.0592651,0.442705
458,0.384144,0.441563
459,0.797373,0.428791
460,0.491283,0.439656
461,0.28016,0.417976
462,-0.0356674,0.398478
463,-0.518003,0.385546
464,-0.629617,0.394894
465,-1.08654,0.384975
466,-0.359969,0.43015
467,-0.991712,0.427496
468,0.244908,0.50178
469,-0.581966,0.572706
470,0.343643,0.625196
471,-0.142431,0.655875
472,0.109839,0.641184
473,-0.296334,0.610237
474,0.700904,0.589589
475,0.674237,0.634708
476,0.982906,0.59372
477,0.727701,0.591831
478,0.573214,0.554912
479,0.668792,0.524952
480,0.164589,0.504677
481,-0.616567,0.483336
482,-1.14063,0.496854
483,-0.738322,0.511525
484,-0.596961,0.482158
485,-1.35988,0.461688
486,-0.701244,0.537898
487,-0.893383,0.513368
488,-1.24077,0.522632
489,-0.824299,0.528155
490,-0.866234,0.497146
491,-0.507335,0.490005
492,0.678226,0.463087
493,0.414209,0.525167
494,-0.380701,0.498391
495,-0.2582,0.499021
496,-0.467594,0.471687
497,-0.332549,0.460963
498,-0.0251809,0.436607
499,0.0140734,0.41705
500,0.025105,0.39732
